StoreID,TRANSACTION_ID,Date,TRANS_HOUR,TRANS_MINUTE,CASHIER_NUMBER,TERMINAL_NUMBER,UPC,ProductName,CATEGORY,CATEGORY_SUB,DEPT_KEY_Name,DEPT_MASTER_Name,Quantity,Price,Sales
7044,20190223668286,2019-02-23 00:00:00.000,18,58,128,7,5000016849,BELLA NAT CHX/TRKY CRT,PET FOOD - DOG,DOG FOOD MISC DRY,GROCERY NFS,Grocery,1,6.26,6.26
7044,20190223670266,2019-02-23 00:00:00.000,19,31,119,6,23718500000,DELI RED POTATO SALAD,DELICATESSEN,DELI SALADS,DELI COLD SERVICE FS,Deli,1,3.99,2.2
7044,20190223668802,2019-02-23 00:00:00.000,19,6,119,6,23735100000,HOT DELI JO JO POTATOE,DELICATESSEN,DELI HOT PRODUCTS,DELI HOT SERVICE NFS,Deli,1,1.98,2.59
7044,20190223670682,2019-02-23 00:00:00.000,19,38,121,7,61126913344,RED BULL ORIGINAL RACI,BEVERAGE & MIXES,ENERGY DRINKS-WT         ,GROC CARB BEV CANDY,Grocery,1,4.28,4.28
7044,20190223670682,2019-02-23 00:00:00.000,19,38,121,7,3338353650,POTATOES 10 LB BAG            ,PRODUCE,produce,PRODUCE FS,Produce,1,3.28,0.98
7044,20190223670467,2019-02-23 00:00:00.000,19,34,121,7,2640022760,DG HALF/HALF QUART            ,DAIRY,HALF & HALF,GROCERY DAIRY,Grocery,1,2.78,2.78
7044,20190223671313,2019-02-23 00:00:00.000,19,48,121,7,3100080922,BANQ CLASSIC MAC&CHS,FROZEN DINNERS & ENTREES,FROZEN REGULAR DINNERS,GROCERY FROZEN,Grocery,1,1.28,1.28
7044,20190223669812,2019-02-23 00:00:00.000,19,23,119,6,4688,PEPPERS GREENHOUSE RED        ,PRODUCE,produce,PRODUCE FS,Produce,2,1.28,2.56
7044,20190223667981,2019-02-23 00:00:00.000,18,53,119,6,7110100362,SUPER 1 LARGE AAPULP,EGGS,UNKNOWN,GROCERY DAIRY,Grocery,1,1.28,1.28
7044,20190223669619,2019-02-23 00:00:00.000,19,20,121,7,3120021007,OS CRANAPPLE JUICE            ,VEG/FRUIT JUICE BOTTLED,CRANBERRY JUICE PLSTC-WT ,GROCERY FS,Grocery,1,0.98,0.98
7044,20190223668259,2019-02-23 00:00:00.000,18,57,119,6,3120027627,OS RUBYRED/GRPFRT JCE         ,VEG/FRUIT JUICE BOTTLED,JUICE GRAPEFRUIT,GROCERY FS,Grocery,1,3.38,3.38
7044,20190223671168,2019-02-23 00:00:00.000,19,46,121,7,4011,BANANAS YELLOW                ,PRODUCE,produce,PRODUCE FS,Produce,1,0.58,1.27
7044,20190223670829,2019-02-23 00:00:00.000,19,40,119,6,85323600502,FISH FRIEND ORIGINAL  ,COUGH REMEDIES,LOZENGES-SPRY SORE-THROAT,GENERAL MERCHANDISE,GM,1,2.49,2.49
7044,20190223667735,2019-02-23 00:00:00.000,18,48,121,5,2840003282,FRITO TOSITOS MEDIUM S,POTATO CHIPS,FRITO LAY CHIPS & SNACKS,GROCERY FS,Grocery,1,3.98,3.98
7044,20190223670200,2019-02-23 00:00:00.000,19,30,119,6,7110100362,SUPER 1 LARGE AAPULP,EGGS,UNKNOWN,GROCERY DAIRY,Grocery,1,1.28,1.28
7044,20190223670284,2019-02-23 00:00:00.000,19,31,121,7,7110100362,SUPER 1 LARGE AAPULP,EGGS,UNKNOWN,GROCERY DAIRY,Grocery,1,1.28,1.28
7044,20190223670829,2019-02-23 00:00:00.000,19,40,119,6,4011,BANANAS YELLOW                ,PRODUCE,produce,PRODUCE FS,Produce,1,0.58,1.69
7044,20190223652657,2019-02-23 00:00:00.000,14,37,124,2,7110100362,SUPER 1 LARGE AAPULP,EGGS,UNKNOWN,GROCERY DAIRY,Grocery,1,1.28,1.28
7044,20190223652786,2019-02-23 00:00:00.000,14,39,643,12,60458000392,ACE SUSHI CHEF SPECIAL,DELICATESSEN,deli items,SUSHI,Grocery,1,12.99,12.99
7044,20190223652885,2019-02-23 00:00:00.000,14,41,103,5,4011,BANANAS YELLOW                ,PRODUCE,produce,PRODUCE FS,Produce,1,0.58,1.49
7044,20190223653161,2019-02-23 00:00:00.000,14,46,128,7,7110100362,SUPER 1 LARGE AAPULP,EGGS,UNKNOWN,GROCERY DAIRY,Grocery,1,1.28,1.28
